no,x,y,eet,et,lt,llt,d1,d,d2,st,mark
0,28,20,0,0,0,0,0,0,0,0,0
1,-26,-29,0,0,0,0,0,0,0,0,0
2,28,-28,0,0,0,0,0,0,0,0,0
3,20,13,0,0,0,0,0,0,0,10,1
4,-2,20,0,0,0,0,0,0,0,10,1
5,-22,-6,0,0,0,0,0,0,0,10,1
6,-8,-23,0,0,0,0,0,0,0,10,1
7,13,-20,0,0,0,0,0,0,0,10,1
8,16,18,24,46,74,96,5,10,15,10,2
9,-3,-23,28,56,76,104,15,20,25,10,2
10,8,-25,89,110,150,171,6,10,14,10,2
11,-3,0,227,251,290,314,4,10,16,10,2
12,29,-6,191,215,241,265,15,20,25,10,2
13,23,10,200,227,266,293,6,10,14,10,2
14,-11,15,73,95,124,146,6,10,14,10,2
15,-11,-15,69,99,123,153,6,10,14,10,2
16,10,-6,223,251,273,301,15,20,25,10,2
17,8,2,93,118,153,178,4,10,16,10,2
18,-5,6,199,223,247,271,15,20,25,10,2
19,20,-18,98,121,141,164,14,20,26,10,2
20,17,-24,42,63,85,106,5,10,15,10,2
21,17,2,232,256,291,315,16,20,24,10,2
22,-19,-16,169,191,227,249,6,10,14,10,2
23,5,1,75,98,125,148,4,10,16,10,2
24,-2,-27,113,138,173,198,4,10,16,10,2
25,2,-28,230,252,272,294,14,20,26,10,2
26,6,-2,207,235,259,287,6,10,14,10,2
27,10,-15,154,176,216,238,14,20,26,10,2
28,-21,-7,0,21,59,88,6,10,14,10,2
29,-21,9,145,171,192,218,6,10,14,10,2
30,1,7,61,90,111,140,15,20,25,10,2
31,12,-12,50,77,113,140,15,20,25,10,2
32,4,21,141,162,188,209,16,20,24,10,2
33,-21,0,187,212,248,273,5,10,15,10,2
34,8,27,99,122,144,167,6,10,14,10,2
35,-23,4,200,221,256,277,15,20,25,10,2
36,-20,-8,142,162,197,217,4,10,16,10,2
37,-10,-24,129,157,192,220,4,10,16,10,2
